#1_tweetid	#2_tweet	#3_country_label	#4_province_label
TRAIN_0	حاجة حلوة اكيد	Egypt	eg_Faiyum
TRAIN_1	عم بشتغلوا للشعب الاميركي اما نحن يكذبوا ويغشوا ويسرقوا ويقتلو شعوبهم ويعملوا لصالح اعدائهم	Iraq	iq_Dihok
TRAIN_2	ابشر طال عمرك	Saudi_Arabia	sa_Ha'il
TRAIN_3	منطق 2017: أنا والغريب علي إبن عمي وأنا والغريب وإبن عمي علي أخويا. #قطع_العلاقات_مع_قطر #موريتانيا_مع_قطر	Mauritania	mr_Nouakchott
TRAIN_4	شهرين وتروح والباقي غير صيف ملينا	Algeria	dz_El-Oued
TRAIN_5	يابنتى والله ما حد متغاظ ولا مفروس منك ولا بيحسدك انتى عره اساسا.	Syria	sy_Damascus-City
TRAIN_6	نفس الوقت بأكد على صاحبتي ان اي هدف هتحطه وتخططله هيبوظ والأفضل التشاؤم واننا نتوقع الأسوء دايما والفشل عشان منعشمش نفسنا ع الفاضي	Egypt	eg_Minya
TRAIN_7	م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك URL  …	Egypt	eg_Beni-Suef
TRAIN_8	ما يله دخل !	Oman	om_Ad-Dakhiliyah
TRAIN_9	هو حلو بس يتخربط ع طلاب المدراس ليك مايغيرونه عدنا	Iraq	iq_Al-Anbar
TRAIN_10	أي عرفتو، ماعندوش مصداقية بصراحة	Tunisia	tn_Bizerte
TRAIN_11	بتتذكري مسلسل نورا هيك بتذكر كان اسمها في	Lebanon	lb_North-Lebanon
TRAIN_12	أحمد ربي ديجا كي يجي واحد منهم في الوقت	Tunisia	tn_Ariana
TRAIN_13	يسطا لازم قريب خد بالك	Tunisia	tn_Mahdia
